title,url,price,location,year,mileage
"BMW X1 xDrive20d, 4X4, VIRTUAL, FULL LED, NAVI, TEMP, KAM, JAMSTVO...",https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-oglas-50526665,34.990 €,"Osijek, Industrijska zona (Čepinska)",2023,94.000 km
BMW X1 sDrive18i | LED | NAVI | KAMERA | PREMIUM PAKET | GRIJANJE SJ.,https://www.njuskalo.hr/auti/bmw-x1-sdrive18i-led-navi-kamera-premium-paket-grijanje-sj-oglas-49277889,35.350 €,Njemačka,2023,99.022 km
"BMW X1 diesel 2023. god, 1. vlasnik,automatik",https://www.njuskalo.hr/auti/bmw-x1-diesel-2023-god-automatik-1-vlasnik-stanje-10-10-samo-whatsap-oglas-50148095,35.800 €,"Bjelovar, Centar",2023,37.000 km
BMW X1 sDrive18d M volan/kuka/navig/kamera€35.900 do reg.!,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-m-volan-kuka-navig-kamera-35.900-reg-oglas-50403224,35.900 €,Njemačka,2023,96.530 km
"BMW X1 25e xDrive  245 KS, LED+KAM+PDC+NAV “ u sustavu pdv “",https://www.njuskalo.hr/auti/bmw-x1-25e-xdrive-245-ks-led-kam-pdc-nav-sustavu-pdv-oglas-50152496,36.000 €,"Split, Sirobuja",2024,80.232 km
BMW X1 sDrive18d,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-oglas-49757839,36.190 €,Njemačka,2023,67.000 km
"BMW X1,150 KS,AUTOMATIK,3x M-SPORT PAKET,DOSLOVNO   N O V !!!",https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-150ks-m-sportpaket-top-model-oglas-38706305,36.999 €,"Tuhelj, Tuheljske Toplice",2021,37.000 km
BMW X1 sDrive 18d Automatic,https://www.njuskalo.hr/auti/rabljeno-vozilo-bmw-x1-sdrive-18d-automatic-diesel-oglas-50298455,37.400 €,"Stenjevec, Jankomir",2024,41.924 km
BMW X1 sDrive18d automatik,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-oglas-51048297,37.500 €,"Sesvete, Brestje",2024,11.500 km
"BMW X1 sDrive18d, M sport paket",https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-oglas-50897432,37.800 €,"Črnomerec, Krvarić",2023,54.000 km
"BMW X1 sDrive18d 49TKM,SERV.,NAVI.,MATRIX,ALU.,PDC,KAM.,VIRT., M SPORT",https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-49tkm-serv-navi-matrix-alu-pdc-kam-virt-m-sport-oglas-50947412,37.990 €,"Osijek, Gornji grad / Centar",2022,49.000 km
BMW X1 30e - X DRIVE - 2023 GOD - PLUG IN HYBRID - FULL - U PDVU!,https://www.njuskalo.hr/auti/bmw-x1-30e-x-drive-2023-god-plug-in-hybrid-full-pdvu-oglas-51080354,37.990 €,"Varaždin, Centar",2023,85.000 km
BMW X1 sDrive18i automatik,https://www.njuskalo.hr/auti/bmw-x1-sdrive18i-automatik-oglas-51011761,38.500 €,"Karlovac, Mostanje",2023,52.000 km
BMW X1 20 d xDrive,https://www.njuskalo.hr/auti/bmw-x1-20-d-xdrive-oglas-50139142,39.338 €,Njemačka,2023,43.000 km
BMW X1 sDrive18d xLine,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-xline-oglas-50955840,39.340 €,Njemačka,2024,21.474 km
BMW X1 sDrive 18d Automatic M-sport,https://www.njuskalo.hr/auti/bmw-x1-sdrive-18d-automatic-m-sport-39.450.00-oglas-50142405,39.450 €,"Stenjevec, Jankomir",2023,73.042 km
BMW X1 sDrive20i,https://www.njuskalo.hr/auti/bmw-x1-sdrive20i-oglas-50090865,39.500 €,"Podsljeme, Markuševec",2023,45.414 km
BMW X1 xDrive20d,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-oglas-49947069,39.850 €,Njemačka,2024,85.000 km
"BMW X1 xDrive 23i AUTOMATIK M-paket *LED, NAVIGACIJA, KAMERA*",https://www.njuskalo.hr/auti/bmw-x1-xdrive-23i-automatik-m-paket-led-navigacija-kamera-oglas-50765192,39.900 €,,2024,92.489 km
"BMW X1 xDrive 23i M-paket AUTOMATIK *HEAD UP,LED,NAVIGACIJA,KAMERA*",https://www.njuskalo.hr/auti/bmw-x1-xdrive-23i-m-paket-automatik-head-up-led-navigacija-kamera-oglas-50611922,39.900 €,,2024,88.658 km
BMW X1 xDrive23i LEASING BEZ UČEŠĆA I BEZ JAMACA,https://www.njuskalo.hr/auti/bmw-x1-xdrive23i-leasing-bez-ucesca-bez-jamaca-oglas-50636646,39.900 €,"Donja Dubrava, Retkovec",2024,88.658 km
BMW X1 xDrive20d M sport,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-m-sport-oglas-51025729,39.990 €,"Slavonski Brod, Brodski Varoš",2023,94.800 km
BMW X1 xDrive20d X LINE 7G/ADAPTIVE LED/ALU 19/KAMERA/KEYLESS/KUKA,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-x-line-7g-adaptive-led-alu-19-kamera-keyless-kuka-oglas-51071041,39.990 €,"Kastav, Tometići",2024,81.386 km
BMW X1 Xdrive 1.8d// 8000 tkm,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-8000-tkm-oglas-50263172,39.999 €,"Gornja Dubrava, Gornja Dubrava",2025,8.000 km
BMW X1 sDrive 2.0d automatik M-sport,https://www.njuskalo.hr/auti/bmw-x1-sdrive-2.0d-automatik-m-sport-oglas-47972750,39.999 €,"Konavle, Gruda",2025,26.000 km
BMW X1 xDrive30e,https://www.njuskalo.hr/auti/bmw-x1-xdrive30e-oglas-48041653,40.000 €,"Čakovec, Vojni Vrtovi",2023,48.000 km
"BMW X1 20d xDrive Aut. M Sport 163 KS, 360+LED+GR SJED+HEAD+VIRT",https://www.njuskalo.hr/auti/bmw-x1-20d-xdrive-aut-m-sport-163-ks-360-led-gr-sjed-head-virt-oglas-50935723,40.300 €,Njemačka,2023,93.335 km
BMW X1 sDrive18i M Sport | GRIJANJE SJEDALA | STRAŽNJA KAMERA,https://www.njuskalo.hr/auti/bmw-x1-sdrive18i-m-sport-grijanje-sjedala-straznja-kamera-oglas-50284255,40.350 €,Njemačka,2025,9.100 km
BMW X1 sDrive18i,https://www.njuskalo.hr/auti/bmw-x1-sdrive18i-oglas-51021245,40.800 €,"Viškovo, Marinići",2024,12.500 km
BMW X1 sDrive18d,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-oglas-51047073,40.900 €,"Pula, Monte Zaro",2024,61.000 km
BMW X1 xDrive20d,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-oglas-49963464,40.900 €,Njemačka,2024,80.000 km
