title,url,price,location,year,mileage
"Hyundai Tucson 1,6 CRDi. NAVI. PRODANO",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-navi-kamera-kredit-kartice-oglas-51009471,16.400 €,"Gospić, Centar",2020,147.726 km
"Hyundai Tucson 1,6 CRDi,Top stanje",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-top-stanje-oglas-49889196,15.500 €,"Čepin, Čepin",2019,170.500 km
"Hyundai Tucson 1,6 CRDi 48V NAVI - VIRTUAL - LEASING RATA 332€",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-navi-virtual-leasing-rata-332-oglas-50575095,24.900 €,"Osijek, Industrijska zona (Čepinska)",2021,111.101 km
"Hyundai Tucson 1.7 CRDi-2017god.md-CLIMATRONIC-media,alu,xenon,KARTICE",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-2017god-md-climatronic-media-alu-xenon-kartice-oglas-49285378,13.250 €,"Slavonski Brod, Šestinac",2016,209.000 km
"Hyundai Tucson 1,6 CRDi, 1 VLASNIK",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50728025,20.500 €,"Osijek, Novi Grad",2021,98.000 km
"Hyundai Tucson 1,6 CRDi",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-pdv-90200km-oglas-47497756,17.890 €,"Stubičke Toplice, Stubičke Toplice",2021,98.000 km
"Hyundai Tucson 2WD 2,0",https://www.njuskalo.hr/auti/hyundai-tucson-2wd-2.0-oglas-40262138,5.600 €,"Novi Marof, Podrute",2010,275.000 km
Hyundai Tucson 1.7 CRDi Style *Automatik!* BiXenon Navi Kamera Servisn,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-style-automatik-bixenon-navi-kamera-servisn-oglas-51086230,13.990 €,"Sveti Ivan Zelina, Sveti Ivan Zelina",2016,145.000 km
"Hyundai Tucson 1,6 GDI",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-gdi-oglas-51085362,15.700 €,"Samobor, Anindol",2019,107.000 km
"Hyundai Tucson 1,6 CRDi, NOVI KUPLJEN U HR, NAVI,KAMERA, SERVISNA",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-kupljen-hr-servisna-knjizica-oglas-49800827,15.250 €,"Karlovac, Grabrik",2019,159.000 km
"Hyundai Tucson 1.7. CRDI , 6.BR. , 115 KS , 2017. , ODLIČAN , 168.000",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-6-br-115-ks-2017-odlican-168.000-oglas-51064008,12.400 €,"Kutina, Kutina",2017,168.000 km
"Hyundai Tucson 1.6 CRDI , 136 KS , mhev , AUTOMATIK , 2020 !!! kao nov",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-136-ks-mhev-automatik-2020-kao-nov-oglas-50883444,15.950 €,"Kutina, Kutina",2020,177.800 km
"Hyundai Tucson 1.6 CRDI , 2022. , ODLIČAN !!! 177 km !!!",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-2022-odlican-170-km-18.999-oglas-50742189,18.950 €,"Kutina, Kutina",2022,177.000 km
"Hyundai Tucson 1,6T",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-oglas-50903969,22.000 €,"Pula, Monvidal",2022,63.000 km
"Prodaja - Hyundai Tucson AUTOMATIK, TEMPOMAT, prvi vlasnik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50680564,18.500 €,"Kaštela, Kaštel Gomilica",2019,85.000 km
Hyundai Tucson 1.7 CRDi,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-49804193,12.199 €,"Klinča Sela, Klinča Sela",2015,177.000 km
"Hyundai Tucson 1,7 CRDi",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-50070897,14.500 €,"Makarska, Makarska",2017,188.000 km
"Hyundai Tucson 1,6 CRDi •Navi,Virtual cockpit,Led,Kamera,Jamstvo•",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-49710462,20.499 €,"Osijek - Okolica, Josipovac",2021,106.500 km
"Hyundai Tucson1,6 CRDi AUTMATIK reg.2/2027 KAMERA KLIMA mob.098 212525",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-reg-2-2027-alu-navi-kamera-klima-pdc-kartice-oglas-49953785,18.999 €,"Sisak, Caprag/Željezara",2021,153.000 km
"Hyundai Tucson 2,0 benzin + plin",https://www.njuskalo.hr/auti/hyundai-tucson-2.0-benzin-plin-oglas-50941689,2.500 €,"Rijeka, Marčeljeva Draga",2007,305.000 km
"Hyundai Tucson N Line 1,6D CRDi automatik FULL",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-oglas-51082490,26.500 €,"Peščenica - Žitnjak, Ferenščica",2022,105.796 km
"Hyundai Tucson, 1.7. CRDI, 2017. Odlična cijena",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-51082477,12.800 €,"Kaštela, Kaštel Gomilica",2017,150.000 km
"Hyundai Tucson 1,6 Benzin 110kw/150ks kamera,grijanje sjedala,senzori",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-oglas-50662901,19.450 €,"Oprisavci, Oprisavci",2021,113.000 km
Hyundai Tucson 1.6 CRDI 85000 km,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-85000-km-oglas-51045876,16.850 €,"Gornja Dubrava, Gornja Dubrava",2020,85.000 km
Hyundai Tucson 1.7CRDi Zamjena!!!!,https://www.njuskalo.hr/auti/hyundai-tucson-1.7crdi-oglas-51045082,10.200 €,"Osijek, Tvrđa",2015,236.800 km
Hyundai Tucson automatik 1.7 CRDi,https://www.njuskalo.hr/auti/hyundai-tucson-automatik-1.7-crdi-oglas-41503141,11.800 €,"Maksimir, Maksimir",2016,218.000 km
"Hyundai Tucson 2,0 16V 4WD, benzin/plin",https://www.njuskalo.hr/auti/hyundai-tucson-2.0-16v-4wd-benzin-plin-oglas-51079382,4.900 €,"Maksimir, Maksimir",2008,241.000 km
"Hyundai Tucson 1,6T PHEV 4WD",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-phev-4wd-oglas-50577729,34.900 €,"Stenjevec, Špansko",2024,24.511 km
"Hyundai Tucson 1,6 CRDi*48V HYBRID N-LINE  112 TKM SERV LED  VIRTUAL**",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-hybrid-automatik-77tkm-serv-led-virtual-oglas-41777950,24.499 €,"Osijek, Retfala",2024,112.000 km
"Hyundai Tucson 1,7 crdi NAVI/jamstvo 1 god/rata od 135eur",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-45869637,12.200 €,"Osijek, Zeleno polje",2015,208.000 km
